,full_notation,energy,SCF_steps,magnetism,time_of_calculation
267,21_MO_8_2,-61.726167,108,1.02,88.07m
268,28_MO_6_2,-61.881822, 68,1.01,44.62m
269,28_MO_1_6,-62.103682, 57,1.01,36.17m
270,18_MO_3_4,-62.998909, 38,1.00,24.09m
271,28_MOCOM_7_11,-67.148638, 52,0.03,33.62m
272,22_MO_10_4,-62.017355, 49,1.04,32.43m
273,26_MO_7_12,-61.806132, 61,1.01,39.20m
274,24_MOCOM_1_2,-67.503411, 33,1.84,27.68m
275,27_MO_2_1,-62.080543,113,1.02,72.08m
276,22_MO_6_5,-61.833961, 54,1.01,46.40m
277,21_MO_1_5,-61.943347,127,1.01,107.25m
278,19_MO_2_6,-62.974586, 36,1.00,22.93m
279,27_MOCOM_1_2,-67.500429, 32,1.24,21.49m
280,23_MO_1_2,-62.033403,103,1.02,66.05m
281,25_MO_1_6,-62.031419, 44,1.01,28.56m
282,24_MO_3_4,-61.779305, 53,1.04,33.95m
283,122_MOCOM_7_11,-71.598525, 69,3.00,35.33m
284,13_MO_10_9,-60.863498, 81,2.00,62.07m
285,124_MO_4_1,-66.561575, 85,2.00,44.00m
286,14_MO_1_6,-60.822133,109,2.00,66.96m
287,12_MOCOM_1_5,-66.216254, 69,2.10,40.93m
288,124_MOCOM_3_9,-71.601183, 64,3.00,33.03m
289,100_MOCOM_4_5,-70.565535, 81,3.00,42.51m
290,1_MO_1_2,-59.456640, 42,4.00,23.64m
291,96_MOCOM_3_8,-70.479355, 87,3.00,44.62m
292,13_MOCOM_7_8,-66.260861, 65,1.77,38.81m
293,131_MO_1_6,-66.601813, 84,2.00,42.53m
294,13_MO_3_9,-60.863498, 81,2.00,62.05m
295,99_MO_11_12,-65.357112, 96,2.00,52.08m
296,12_MO_11_6,-60.795758,116,2.00,71.04m
297,99_MOCOM_10_11,-70.473356, 86,3.00,44.69m
298,115_MO_3_4,-66.507991, 88,2.00,60.79m
299,4_MOCOM_4_5,-65.017242, 49,3.66,28.07m
300,4_MO_9_10,-59.585411,108,3.00,68.44m
301,101_MOCOM_2_7,-70.535377, 86,3.00,59.07m
302,133_MO_8_3,-66.499806, 77,2.00,39.19m
303,108_MOCOM_4_5,-70.506448, 75,3.00,38.39m
304,127_MO_5_6,-66.607711, 87,2.00,45.44m
305,4_MOCOM_9_10,-65.017242, 49,3.66,36.82m
306,112_MO_2_8,-66.482109, 81,2.00,41.24m
307,126_MOCOM_7_12,-71.677144, 72,3.00,48.06m
308,111_MO_3_4,-66.509094, 81,2.00,41.87m
309,127_MOCOM_8_9,-71.618971, 84,3.00,43.55m
310,122_MOCOM_1_4,-71.598525, 69,3.00,35.46m
311,8_MOCOM_9_10,-67.153970, 64,1.00,49.68m
312,1_MOCOM_1_2,-64.588022, 42,3.00,24.00m
313,129_MO_9_8,-66.498116, 79,2.00,40.59m
314,105_MO_1_6,-65.507029,128,2.00,67.22m
315,12_MOCOM_5_6,-66.216254, 69,2.10,54.07m
316,102_MO_2_8,-65.534025, 91,2.00,47.62m
317,108_MO_9_12,-65.474751, 80,2.00,54.38m
318,12_MOCOM_4_5,-66.216254, 69,2.10,41.18m
319,3_MOCOM_2_7,-65.903095, 57,2.00,33.74m
320,118_MOCOM_6_11,-71.569028, 76,3.00,38.61m
321,114_MO_8_3,-66.483795, 88,2.00,45.74m
322,7_MO_1_2,-61.923852, 58,2.00,44.02m
323,126_MOCOM_1_5,-71.677144, 72,3.00,36.62m
324,104_MO_7_8,-65.449021, 93,2.00,63.59m
325,4_MO_1_3,-59.585378,107,3.00,90.20m
326,1_MO_1_5,-59.456640, 42,4.00,23.68m
327,126_MO_7_11,-66.614109, 71,2.00,36.31m
328,113_MO_2_1,-66.443403, 81,2.00,41.52m
329,104_MOCOM_3_8,-70.475550, 80,3.00,41.99m
330,7_MO_4_1,-61.923852, 58,2.00,43.94m
331,6_MO_1_3,-59.657666, 59,3.00,34.39m
332,13_MOCOM_3_8,-66.260861, 65,1.77,38.77m
333,97_MOCOM_5_10,-70.522753, 87,3.00,44.52m
334,11_MO_5_4,-60.780058, 85,2.00,69.57m
335,7_MO_9_4,-61.923852, 58,2.00,33.69m
336,5_MO_2_8,-59.610326, 63,3.00,36.06m
337,11_MOCOM_5_10,-66.219246, 68,2.77,40.78m
338,11_MOCOM_2_3,-66.219246, 68,2.77,53.32m
339,116_MO_3_8,-66.614692, 73,2.00,36.89m
340,11_MO_11_6,-60.780058, 85,2.00,53.08m
341,126_MO_12_7,-66.614109, 71,2.00,47.73m
342,113_MOCOM_2_6,-71.531915, 72,3.00,36.78m
343,100_MO_10_5,-65.429521, 93,1.98,63.67m
344,116_MOCOM_7_8,-71.660139, 64,3.00,32.24m
345,106_MOCOM_1_3,-70.439397, 76,3.00,40.22m
346,128_MO_4_9,-66.623501,137,2.00,74.70m
347,96_MO_2_6,-65.317862,110,1.93,75.05m
348,122_MO_3_9,-66.546431, 78,2.00,39.91m
349,13_MO_7_8,-60.863498, 81,2.00,47.76m
350,119_MOCOM_7_12,-71.628067,108,3.00,57.33m
351,105_MOCOM_11_12,-70.508464, 78,3.00,52.69m
352,114_MOCOM_1_4,-71.613829, 74,3.00,37.38m
353,12_MO_5_4,-60.795758,118,2.00,94.62m
354,106_MO_1_4,-65.353264,112,2.00,59.08m
355,98_MOCOM_7_12,-70.563856, 79,3.00,41.53m
356,12_MO_3_8,-60.795759,117,2.00,71.00m
357,100_MO_7_12,-65.429521, 93,1.98,47.79m
358,3_MO_1_5,-60.734579, 51,3.00,38.62m
359,117_MOCOM_1_2,-71.674248, 76,3.00,39.36m
360,104_MO_12_11,-65.449021, 93,2.00,48.43m
361,4_MOCOM_3_4,-65.017242, 49,3.66,36.99m
362,11_MOCOM_7_8,-66.219246, 68,2.77,40.93m
363,123_MOCOM_3_9,-71.471972,100,3.00,52.57m
364,4_MOCOM_1_3,-65.017242, 49,3.66,36.97m
365,115_MOCOM_8_12,-71.552944, 75,3.00,38.44m
